trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
Green_2_Ogallala_T01,06:15:00,06:15:00,1,1,Chadron NE Maverik Station,2,2,,,,1
Green_2_Ogallala_T01,07:00:00,07:00:00,2,2,Chadron NE Chadron State College,2,2,,,,1
Green_2_Ogallala_T01,07:05:00,07:05:00,3,3,Chadron NE Chadron Community Hospital,2,2,,,,1
Green_2_Ogallala_T01,07:10:00,07:10:00,4,4,Chadron NE Pine Ridge Job Corps,2,2,,,,1
Green_2_Ogallala_T01,07:30:00,07:30:00,5,5,Hemingford NE WESTCO Station,2,2,,,,1
Green_2_Ogallala_T01,08:00:00,08:00:00,6,6,Alliance NE Box Butte General Hospital,2,2,,,,1
Green_2_Ogallala_T01,08:20:00,08:20:00,7,7,Alliance NE Panhandle Trails,2,2,,,,1
Green_2_Ogallala_T01,08:30:00,08:30:00,8,8,Angora NE U.S. Post Office,2,2,,,,1
Green_2_Ogallala_T01,08:55:00,08:55:00,9,9,Bridgeport NE Prairie Winds Community Ctr.,2,2,,,,1
Green_2_Ogallala_T01,09:15:00,09:15:00,15,10,Dalton NE NE U.S. Highway 385,2,2,,,,1
Green_2_Ogallala_T01,09:40:00,09:40:00,16,11,Gurley NE NE U.S. Highway 385,2,2,,,,1
Green_2_Ogallala_T01,09:50:00,09:50:00,17,12,Sidney NE Walmart,2,2,,,,1
Green_2_Ogallala_T01,10:10:00,10:10:00,18,13,Sunol NE NE U.S. Highway 30,2,2,,,,1
Green_2_Ogallala_T01,10:25:00,10:25:00,19,14,Lodgepole NE NE U.S. Highway 30,2,2,,,,1
Green_2_Ogallala_T01,10:35:00,10:35:00,20,15,Chappell NE NE U.S. Highway 30 Pump & Pantry,2,2,,,,1
Green_2_Ogallala_T01,10:45:00,10:45:00,21,16,Brule NE U.S. U.S. Highway 30,2,2,,,,1
Green_2_Ogallala_T01,11:20:00,11:20:00,22,17,Ogallala NE Gulf Travel Station,2,2,,,,1
Green_2_Ogallala_T01,11:35:00,11:35:00,24,18,,,,,,,1
Green_2_Crawford_T01,13:10:00,13:10:00,24,1,Brule NE U.S. U.S. Highway 30,2,2,,,,1
Green_2_Crawford_T01,13:25:00,13:25:00,22,2,Chappell NE NE U.S. Highway 30 Pump & Pantry,2,2,,,,1
Green_2_Crawford_T01,14:00:00,14:00:00,21,3,Lodgepole NE NE U.S. Highway 30,2,2,,,,1
Green_2_Crawford_T01,14:10:00,14:10:00,20,4,Sunol NE NE U.S. Highway 30,2,2,,,,1
Green_2_Crawford_T01,14:20:00,14:20:00,19,5,Sidney NE Walmart,2,2,,,,1
Green_2_Crawford_T01,14:35:00,14:35:00,18,6,Gurley NE NE U.S. Highway 385,2,2,,,,1
Green_2_Crawford_T01,14:55:00,14:55:00,17,7,Dalton NE NE U.S. Highway 385,2,2,,,,1
Green_2_Crawford_T01,15:05:00,15:05:00,16,8,Bridgeport NE Prairie Winds Community Ctr.,2,2,,,,1
Green_2_Crawford_T01,15:25:00,15:25:00,15,9,Angora NE U.S. Post Office,2,2,,,,1
Green_2_Crawford_T01,15:45:00,15:45:00,9,10,Alliance NE Panhandle Trails,2,2,,,,1
Green_2_Crawford_T01,16:10:00,16:10:00,8,11,Hemingford NE WESTCO Station,2,2,,,,1
Green_2_Crawford_T01,16:30:00,16:30:00,6,12,Chadron NE Pine Ridge Job Corps,2,2,,,,1
Green_2_Crawford_T01,17:00:00,17:00:00,5,13,Chadron NE Chadron Community Hospital,2,2,,,,1
Green_2_Crawford_T01,17:15:00,17:15:00,4,14,Chadron NE Chadron State College,2,2,,,,1
Green_2_Crawford_T01,17:20:00,17:20:00,3,15,Chadron NE Maverik Station,2,2,,,,1
Green_2_Crawford_T01,17:50:00,17:50:00,2,16,Crawford NE WESTCO Station,2,2,,,,1
Green_2_Crawford_T01,18:05:00,18:05:00,1,17,,,,,,,1
Green_spur_Scotts2Bridge_T01,07:30:00,07:30:00,11,1,Gering NE Scotts Bluff Couty Courthouse,2,2,,,,1
Green_spur_Scotts2Bridge_T01,07:45:00,07:45:00,12,2,Minatare NE NE U.S. Highway 26,2,2,,,,1
Green_spur_Scotts2Bridge_T01,08:00:00,08:00:00,13,3,Bayard NE NE U.S. Highway 26,2,2,,,,1
Green_spur_Scotts2Bridge_T01,08:15:00,08:15:00,14,4,Bridgeport NE Prairie Winds Community Ctr.,2,2,,,,1
Green_spur_Scotts2Bridge_T01,09:15:00,09:15:00,15,5,,,,,,,1
Green_spur_Bridge2Scotts_T01,15:05:00,15:05:00,15,1,Bayard NE NE U.S. Highway 26,2,2,,,,1
Green_spur_Bridge2Scotts_T01,15:50:00,15:50:00,14,2,Minatare NE NE U.S. Highway 26,2,2,,,,1
Green_spur_Bridge2Scotts_T01,16:05:00,16:05:00,13,3,Gering NE Scotts Bluff Couty Courthouse,2,2,,,,1
